Individual,Num_Faults,LEDS,Swarm_Size,user_order,Fault_Type1,Fault_Type2,Bal_Avg,Video Type
10,0,OFF,LARGE,24,NONE,NONE,1,4
10,1,ON,SMALL,24,WHEEL,NONE,1,5
10,1,ON,LARGE,24,WHEEL,NONE,1,6
10,1,OFF,SMALL,24,PROX,NONE,1,7
10,1,OFF,LARGE,24,PROX,NONE,0.5,8
10,2,ON,SMALL,24,PROX,PROX,1,9
10,2,ON,LARGE,24,WHEEL,PROX,0.5,10
10,2,OFF,SMALL,24,WHEEL,PROX,1,11
10,2,OFF,LARGE,24,WHEEL,WHEEL,0.5,12
11,0,ON,SMALL,25,NONE,NONE,1,1
11,0,ON,LARGE,25,NONE,NONE,1,2
11,0,OFF,SMALL,25,NONE,NONE,1,3
11,0,OFF,LARGE,25,NONE,NONE,1,4
11,1,ON,SMALL,25,PROX,NONE,1,5
11,1,ON,LARGE,25,PROX,NONE,1,6
11,1,OFF,SMALL,25,WHEEL,NONE,1,7
11,1,OFF,LARGE,25,WHEEL,NONE,0.5,8
11,2,ON,SMALL,25,WHEEL,WHEEL,1,9
11,2,ON,LARGE,25,WHEEL,WHEEL,1,10
11,2,OFF,SMALL,25,PROX,PROX,1,11
11,2,OFF,LARGE,25,PROX,PROX,0.75,12
12,0,ON,SMALL,26,NONE,NONE,1,1
12,0,ON,LARGE,26,NONE,NONE,1,2
12,0,OFF,SMALL,26,NONE,NONE,1,3
12,0,OFF,LARGE,26,NONE,NONE,1,4
12,1,ON,SMALL,26,WHEEL,NONE,1,5
12,1,ON,LARGE,26,WHEEL,NONE,0.992063492,6
12,1,OFF,SMALL,26,PROX,NONE,1,7
12,1,OFF,LARGE,26,PROX,NONE,1,8
12,2,ON,SMALL,26,WHEEL,PROX,1,9
12,2,ON,LARGE,26,PROX,PROX,1,10
12,2,OFF,SMALL,26,WHEEL,WHEEL,1,11
12,2,OFF,LARGE,26,WHEEL,PROX,0.5,12
13,0,ON,SMALL,27,NONE,NONE,1,1
13,0,ON,LARGE,27,NONE,NONE,0.984375,2
