Individual,Num_Faults,LEDS,Swarm_Size,user_order,Wheel_Fault,Prox_Fault,Bal_Avg,Video Type,TP,TN,FP,FN,MCC,Fault_Type1,Fault_Type2
7,0,OFF,LARGE,7,NONE,NONE,1,4,,,,,,NONE,NONE
7,1,ON,SMALL,7,NONE,YES,1,6,,,,,,PROX,NONE
7,1,ON,LARGE,7,YES,NONE,1,7,,,,,,WHEEL,NONE
7,1,OFF,SMALL,7,NONE,YES,0.5,8,,,,,,PROX,NONE
7,2,ON,SMALL,7,NONE,YES,0.714285714,9,,,,,,PROX,PROX
7,2,ON,LARGE,7,YES,YES,0.75,10,,,,,,WHEEL,PROX
7,2,OFF,LARGE,7,YES,NONE,0.75,12,,,,,,WHEEL,WHEEL
7,0,OFF,LARGE,7,NONE,NONE,1,4,,,,,,NONE,NONE
7,2,OFF,LARGE,7,YES,YES,0.75,12,,,,,,WHEEL,PROX
8,0,ON,SMALL,8,NONE,NONE,1,1,,,,,,NONE,NONE
8,0,ON,LARGE,8,NONE,NONE,0.96875,2,,,,,,NONE,NONE
8,0,OFF,SMALL,8,NONE,NONE,1,3,,,,,,NONE,NONE
8,0,OFF,LARGE,8,NONE,NONE,1,4,,,,,,NONE,NONE
8,1,ON,SMALL,8,YES,NONE,0.5,5,,,,,,WHEEL,NONE
8,1,ON,LARGE,8,NONE,YES,0.5,6,,,,,,PROX,NONE
8,1,OFF,SMALL,8,NONE,YES,0.466666667,7,,,,,,PROX,NONE
8,1,OFF,LARGE,8,YES,NONE,0.5,8,,,,,,WHEEL,NONE
8,2,ON,SMALL,8,NONE,YES,1,9,,,,,,PROX,PROX
8,2,ON,LARGE,8,YES,NONE,0.75,10,,,,,,WHEEL,WHEEL
8,2,OFF,SMALL,8,YES,YES,0.75,11,,,,,,WHEEL,PROX
8,2,OFF,LARGE,8,NONE,YES,0.5,12,,,,,,PROX,PROX
9,0,ON,SMALL,9,NONE,NONE,0.9375,1,,,,,,NONE,NONE
9,0,ON,LARGE,9,NONE,NONE,1,2,,,,,,NONE,NONE
9,0,OFF,SMALL,9,NONE,NONE,1,3,,,,,,NONE,NONE
9,0,OFF,LARGE,9,NONE,NONE,1,4,,,,,,NONE,NONE
9,1,ON,SMALL,9,NONE,YES,1,5,,,,,,PROX,NONE
9,1,ON,LARGE,9,YES,NONE,1,6,,,,,,WHEEL,NONE
9,1,OFF,SMALL,9,NONE,YES,1,7,,,,,,PROX,NONE
9,1,OFF,LARGE,9,YES,NONE,1,8,,,,,,WHEEL,NONE
9,2,ON,SMALL,9,YES,YES,1,9,,,,,,WHEEL,PROX
9,2,ON,LARGE,9,NONE,YES,1,10,,,,,,PROX,PROX
9,2,OFF,SMALL,9,YES,NONE,1,11,,,,,,WHEEL,WHEEL
9,2,OFF,LARGE,9,NONE,YES,0.75,12,,,,,,PROX,PROX
10,0,ON,SMALL,10,NONE,NONE,0.9375,1,,,,,,NONE,NONE
10,0,ON,LARGE,10,NONE,NONE,1,2,,,,,,NONE,NONE
10,0,OFF,SMALL,10,NONE,NONE,0.9375,3,,,,,,NONE,NONE
10,0,OFF,LARGE,10,NONE,NONE,1,4,,,,,,NONE,NONE
10,1,ON,SMALL,10,NONE,YES,0.466666667,5,,,,,,PROX,NONE
10,1,ON,LARGE,10,YES,NONE,0.5,6,,,,,,WHEEL,NONE
10,1,OFF,SMALL,10,NONE,YES,0.5,7,,,,,,PROX,NONE
10,1,OFF,LARGE,10,YES,NONE,1,8,,,,,,WHEEL,NONE
10,2,ON,SMALL,10,YES,YES,1,9,,,,,,WHEEL,PROX
10,2,ON,LARGE,10,NONE,YES,0.75,10,,,,,,PROX,PROX
10,2,OFF,SMALL,10,YES,NONE,0.75,11,,,,,,WHEEL,WHEEL
10,2,OFF,LARGE,10,NONE,YES,0.5,12,,,,,,PROX,PROX
11,0,ON,SMALL,11,NONE,NONE,1,1,,,,,,NONE,NONE
11,0,ON,LARGE,11,NONE,NONE,1,2,,,,,,NONE,NONE
11,0,OFF,SMALL,11,NONE,NONE,1,3,,,,,,NONE,NONE
11,0,OFF,LARGE,11,NONE,NONE,1,4,,,,,,NONE,NONE
11,1,ON,SMALL,11,YES,NONE,1,5,,,,,,WHEEL,NONE
11,1,ON,LARGE,11,NONE,YES,0.492063492,6,,,,,,PROX,NONE
11,1,OFF,SMALL,11,YES,NONE,0.5,7,,,,,,WHEEL,NONE
11,1,OFF,LARGE,11,NONE,YES,1,8,,,,,,PROX,NONE
11,2,ON,SMALL,11,YES,NONE,1,9,,,,,,WHEEL,WHEEL
11,2,ON,LARGE,11,YES,NONE,0.741935484,10,,,,,,WHEEL,WHEEL
11,2,OFF,SMALL,11,NONE,YES,0.964285714,11,,,,,,PROX,PROX
11,2,OFF,LARGE,11,NONE,YES,0.5,12,,,,,,PROX,PROX
12,0,ON,SMALL,12,NONE,NONE,0.75,1,,,,,,NONE,NONE
12,0,ON,LARGE,12,NONE,NONE,0.890625,2,,,,,,NONE,NONE
12,0,OFF,SMALL,12,NONE,NONE,0.75,3,,,,,,NONE,NONE
12,0,OFF,LARGE,12,NONE,NONE,0.921875,4,,,,,,NONE,NONE
12,1,ON,SMALL,12,NONE,YES,0.233333333,5,,,,,,PROX,NONE
12,1,ON,LARGE,12,YES,NONE,0.428571429,6,,,,,,WHEEL,NONE
12,1,OFF,SMALL,12,NONE,YES,0.8,7,,,,,,PROX,NONE
12,1,OFF,LARGE,12,YES,NONE,0.428571429,8,,,,,,WHEEL,NONE
12,2,ON,SMALL,12,YES,YES,0.678571429,9,,,,,,WHEEL,PROX
12,2,ON,LARGE,12,NONE,YES,0.733870968,10,,,,,,PROX,PROX
12,2,OFF,SMALL,12,YES,YES,0.642857143,11,,,,,,WHEEL,PROX
12,2,OFF,LARGE,12,YES,YES,0.467741935,12,,,,,,WHEEL,PROX
13,0,ON,SMALL,13,NONE,NONE,1,1,,,,,,NONE,NONE
13,0,ON,LARGE,13,NONE,NONE,1,2,,,,,,NONE,NONE
13,0,OFF,SMALL,13,NONE,NONE,1,3,,,,,,NONE,NONE
13,0,OFF,LARGE,13,NONE,NONE,1,4,,,,,,NONE,NONE
13,1,ON,SMALL,13,NONE,YES,0.5,5,,,,,,PROX,NONE
13,1,ON,LARGE,13,YES,NONE,1,6,,,,,,WHEEL,NONE
13,1,OFF,SMALL,13,NONE,YES,0.5,7,,,,,,PROX,NONE
13,1,OFF,LARGE,13,YES,NONE,0.992063492,8,,,,,,WHEEL,NONE
13,2,ON,SMALL,13,YES,NONE,1,9,,,,,,WHEEL,WHEEL
13,2,ON,LARGE,13,NONE,YES,0.5,10,,,,,,PROX,PROX
13,2,OFF,SMALL,13,YES,YES,0.75,11,,,,,,WHEEL,PROX
13,2,OFF,LARGE,13,YES,NONE,1,12,,,,,,WHEEL,WHEEL
13,1,ON,LARGE,13,YES,NONE,1,6,,,,,,WHEEL,NONE
14,0,ON,SMALL,14,NONE,NONE,0.9375,1,,,,,,NONE,NONE
14,0,ON,LARGE,14,NONE,NONE,0.953125,2,,,,,,NONE,NONE
14,0,OFF,SMALL,14,NONE,NONE,1,3,,,,,,NONE,NONE
14,0,OFF,LARGE,14,NONE,NONE,0.96875,4,,,,,,NONE,NONE
14,1,ON,SMALL,14,YES,NONE,1,5,,,,,,WHEEL,NONE
14,1,ON,LARGE,14,NONE,YES,0.992063492,6,,,,,,PROX,NONE
14,1,OFF,SMALL,14,YES,NONE,1,7,,,,,,WHEEL,NONE
14,1,OFF,LARGE,14,NONE,YES,0.992063492,8,,,,,,PROX,NONE
14,2,ON,SMALL,14,YES,NONE,1,9,,,,,,WHEEL,WHEEL
14,2,ON,LARGE,14,YES,NONE,0.5,10,,,,,,WHEEL,WHEEL
14,2,OFF,SMALL,14,NONE,YES,1,11,,,,,,PROX,PROX
14,2,OFF,LARGE,14,NONE,YES,0.75,12,,,,,,PROX,PROX
15,0,ON,SMALL,15,NONE,NONE,1,1,,,,,,NONE,NONE
15,0,ON,LARGE,15,NONE,NONE,1,2,,,,,,NONE,NONE
15,0,OFF,SMALL,15,NONE,NONE,0.9375,3,,,,,,NONE,NONE
15,0,OFF,LARGE,15,NONE,NONE,1,4,,,,,,NONE,NONE
15,1,ON,SMALL,15,NONE,YES,1,5,,,,,,PROX,NONE
15,1,ON,LARGE,15,YES,NONE,0.5,6,,,,,,WHEEL,NONE
15,1,OFF,SMALL,15,NONE,YES,1,7,,,,,,PROX,NONE
15,1,OFF,LARGE,15,YES,NONE,1,8,,,,,,WHEEL,NONE
15,2,ON,SMALL,15,YES,NONE,1,9,,,,,,WHEEL,WHEEL
15,2,ON,LARGE,15,YES,NONE,1,10,,,,,,WHEEL,WHEEL
15,2,OFF,SMALL,15,NONE,YES,1,11,,,,,,PROX,PROX
15,2,OFF,LARGE,15,NONE,YES,0.75,12,,,,,,PROX,PROX
16,0,ON,SMALL,16,NONE,NONE,1,1,,,,,,NONE,NONE
16,0,ON,LARGE,16,NONE,NONE,1,2,,,,,,NONE,NONE
16,0,OFF,SMALL,16,NONE,NONE,1,3,,,,,,NONE,NONE
16,0,OFF,LARGE,16,NONE,NONE,0.96875,4,,,,,,NONE,NONE
16,1,ON,SMALL,16,NONE,YES,1,5,,,,,,PROX,NONE
16,1,ON,LARGE,16,YES,NONE,0.5,6,,,,,,WHEEL,NONE
16,1,OFF,SMALL,16,NONE,YES,0.466666667,7,,,,,,PROX,NONE
16,1,OFF,LARGE,16,YES,NONE,1,8,,,,,,WHEEL,NONE
16,2,ON,SMALL,16,YES,NONE,0.5,9,,,,,,WHEEL,WHEEL
