user_num,fault_type1,fault_type2,bal_acc,vid_type
15,PROX,NONE,1.0,7
15,WHEEL,NONE,1.0,8
15,WHEEL,WHEEL,1.0,9
15,WHEEL,WHEEL,1.0,10
15,PROX,PROX,1.0,11
15,PROX,PROX,0.75,12
16,NONE,NONE,1.0,1
16,NONE,NONE,1.0,2
16,NONE,NONE,1.0,3
16,NONE,NONE,0.96875,4
16,PROX,NONE,1.0,5
16,WHEEL,NONE,0.5,6
16,PROX,NONE,0.4666666666666667,7
16,WHEEL,NONE,1.0,8
16,WHEEL,WHEEL,0.5,9
16,PROX,PROX,0.75,10
16,PROX,PROX,1.0,11
16,PROX,PROX,0.5,12
17,NONE,NONE,1.0,1
17,NONE,NONE,1.0,2
17,NONE,NONE,0.5625,3
17,NONE,NONE,1.0,4
17,PROX,NONE,0.43333333333333335,5
17,WHEEL,NONE,1.0,6
17,PROX,NONE,1.0,7
17,WHEEL,NONE,1.0,8
17,WHEEL,PROX,1.0,9
17,WHEEL,WHEEL,1.0,10
17,WHEEL,WHEEL,1.0,11
17,PROX,PROX,1.0,12
18,NONE,NONE,1.0,1
18,NONE,NONE,1.0,2
18,NONE,NONE,1.0,3
18,NONE,NONE,1.0,4
18,WHEEL,NONE,1.0,5
18,WHEEL,NONE,0.5,6
18,PROX,NONE,1.0,7
18,PROX,NONE,0.5,8
18,WHEEL,PROX,1.0,9
18,PROX,PROX,1.0,10
18,WHEEL,WHEEL,1.0,11
18,WHEEL,PROX,0.75,12
19,NONE,NONE,1.0,1
19,NONE,NONE,1.0,2
19,NONE,NONE,1.0,3
19,NONE,NONE,1.0,4
19,WHEEL,NONE,1.0,5
19,WHEEL,NONE,1.0,6
19,WHEEL,NONE,1.0,7
19,PROX,NONE,1.0,8
19,WHEEL,WHEEL,1.0,9
19,WHEEL,WHEEL,0.75,10
19,WHEEL,PROX,1.0,11
19,WHEEL,WHEEL,0.75,12
20,NONE,NONE,1.0,1
20,NONE,NONE,1.0,2
20,NONE,NONE,1.0,3
20,NONE,NONE,1.0,4
20,PROX,NONE,1.0,5
20,WHEEL,NONE,0.5,6
20,PROX,NONE,1.0,7
20,WHEEL,NONE,1.0,8
20,WHEEL,PROX,1.0,9
20,PROX,PROX,0.75,10
20,WHEEL,PROX,1.0,11
20,PROX,PROX,1.0,11
21,NONE,NONE,0.9375,1
21,NONE,NONE,1.0,2
21,NONE,NONE,1.0,3
21,NONE,NONE,1.0,4
21,PROX,NONE,1.0,5
21,PROX,NONE,1.0,6
21,WHEEL,NONE,1.0,7
21,WHEEL,NONE,1.0,8
21,WHEEL,PROX,1.0,9
21,WHEEL,PROX,0.75,10
21,WHEEL,WHEEL,1.0,11
21,WHEEL,PROX,0.5,11
22,NONE,NONE,1.0,1
22,NONE,NONE,0.890625,2
22,NONE,NONE,1.0,3
22,NONE,NONE,0.921875,4
22,WHEEL,NONE,1.0,5
22,WHEEL,NONE,0.9920634920634921,6
22,PROX,NONE,0.9666666666666667,7
22,PROX,NONE,0.9841269841269842,8
22,WHEEL,WHEEL,1.0,9
22,WHEEL,WHEEL,0.7419354838709677,10
22,PROX,PROX,0.5,11
22,PROX,PROX,0.75,12
23,NONE,NONE,1.0,1
23,NONE,NONE,1.0,2
23,NONE,NONE,1.0,3
23,NONE,NONE,1.0,4
23,PROX,NONE,1.0,5
23,PROX,NONE,0.5,6
23,WHEEL,NONE,0.5,7
23,WHEEL,NONE,1.0,8
23,WHEEL,PROX,0.75,9
23,PROX,PROX,0.5,10
